Game,Player,Teammate,Opponent1,Opponent2
1,M1,W1,M2,W2
1,W1,M1,M2,W2
1,M2,W2,M1,W1
1,W2,M2,M1,W1
2,M3,W3,M4,W4
2,W3,M3,M4,W4
2,M4,W4,M3,W3
2,W4,M4,M3,W3
3,M4,W5,M5,W1
3,W5,M4,M5,W1
3,M5,W1,M4,W5
3,W1,M5,M4,W5
4,M1,W2,M3,W4
4,W2,M1,M3,W4
4,M3,W4,M1,W2
4,W4,M3,M1,W2
5,M1,W3,M3,W5
5,W3,M1,M3,W5
5,M3,W5,M1,W3
5,W5,M3,M1,W3
6,M2,W4,M5,W2
6,W4,M2,M5,W2
6,M5,W2,M2,W4
6,W2,M5,M2,W4
7,M2,W5,M5,W3
7,W5,M2,M5,W3
7,M5,W3,M2,W5
7,W3,M5,M2,W5
8,M3,W1,M4,W2
8,W1,M3,M4,W2
8,M4,W2,M3,W1
8,W2,M4,M3,W1
9,M1,W5,M2,W1
9,W5,M1,M2,W1
9,M2,W1,M1,W5
9,W1,M2,M1,W5
10,M4,W3,M5,W4
10,W3,M4,M5,W4
10,M5,W4,M4,W3
10,W4,M5,M4,W3
11,M1,W1,M3,W3
11,W1,M1,M3,W3
11,M3,W3,M1,W1
11,W3,M3,M1,W1
12,M2,W2,M4,W4
12,W2,M2,M4,W4
12,M4,W4,M2,W2
12,W4,M4,M2,W2
13,M1,W2,M4,W5
13,W2,M1,M4,W5
13,M4,W5,M1,W2
13,W5,M4,M1,W2
14,M3,W4,M5,W1
14,W4,M3,M5,W1
14,M5,W1,M3,W4
14,W1,M5,M3,W4
15,M1,W3,M5,W2
15,W3,M1,M5,W2
15,M5,W2,M1,W3
15,W2,M5,M1,W3
16,M2,W4,M3,W5
16,W4,M2,M3,W5
16,M3,W5,M2,W4
16,W5,M3,M2,W4
17,M2,W5,M4,W2
17,W5,M2,M4,W2
17,M4,W2,M2,W5
17,W2,M4,M2,W5
18,M3,W1,M5,W3
18,W1,M3,M5,W3
18,M5,W3,M3,W1
18,W3,M5,M3,W1
19,M1,W5,M4,W3
19,W5,M1,M4,W3
19,M4,W3,M1,W5
19,W3,M4,M1,W5
20,M2,W1,M5,W4
20,W1,M2,M5,W4
20,M5,W4,M2,W1
20,W4,M5,M2,W1
21,M2,W2,M3,W3
21,W2,M2,M3,W3
21,M3,W3,M2,W2
21,W3,M3,M2,W2
22,M1,W1,M5,W5
22,W1,M1,M5,W5
22,M5,W5,M1,W1
22,W5,M5,M1,W1
23,M3,W4,M4,W5
23,W4,M3,M4,W5
23,M4,W5,M3,W4
23,W5,M4,M3,W4
24,M1,W2,M5,W1
24,W2,M1,M5,W1
24,M5,W1,M1,W2
24,W1,M5,M1,W2
