Round,Court 1 Team1,Court 1 Team2
1,M1/W1,M2/W2
2,M3/W3,M4/W4
3,M5/W5,M6/W6
4,M7/W7,M8/W8
5,M9/W9,M10/W10
6,M3/W4,M2/W1
7,M1/W2,M4/W3
8,M5/W6,M7/W8
9,M6/W5,M8/W7
10,M9/W10,M10/W9
11,M1/W3,M3/W1
12,M2/W4,M4/W2
13,M6/W7,M7/W6
14,M5/W8,M8/W5
15,M9/W10,M10/W9
16,M2/W3,M5/W7
17,M4/W1,M8/W6
18,M6/W8,M1/W4
19,M3/W5,M7/W2
20,M9/W9,M10/W10
21,M4/W7,M5/W1
22,M2/W6,M8/W3
23,M6/W9,M3/W8
24,M7/W4,M1/W10
25,M10/W2,M9/W5
26,M4/W9,M7/W5
27,M5/W10,M3/W2
28,M8/W1,M10/W3
29,M2/W7,M9/W6
30,M1/W8,M6/W4
31,M7/W9,M5/W2
32,M4/W5,M3/W10
33,M10/W1,M2/W8
34,M8/W4,M9/W7
35,M1/W6,M6/W3
36,M5/W9,M6/W1
37,M9/W2,M4/W8
38,M10/W5,M7/W3
39,M8/W10,M3/W6
40,M2/W4,M1/W7
41,M5/W3,M9/W8
42,M6/W2,M10/W7
