Timestamp,Num Rounds,Num Courts,Num Men,Num Women,Num Games,Repeat Opponents Min,Repeat Opponents Max,Repeat Opponents Avg,Repeat Opponents Rng,Repeat Teammates Min,Repeat Teammates Max,Repeat Teammates Avg,Repeat Teammates Rng,Games Played Min,Games Played Max,Games Played Avg,Games Played Rng Men,Games played Rng Women,Repeat Exponential,Opponent History Weight,Teammate History Weight,Games Played Weight,Recent Rounds Weight
2026-02-28 09:27:50.166184,2,1,2,2,2,1,1,1.0,0,0,0,0.0,0,2,2,2.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.167732,2,1,3,3,2,0,0,0.0,0,0,0,0.0,0,1,2,1.3333333333333333,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.174204,2,1,4,4,2,0,0,0.0,0,0,0,0.0,0,1,1,1.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.175504,2,1,5,5,2,0,0,0.0,0,0,0,0.0,0,0,1,0.8,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.178241,2,1,6,6,2,0,0,0.0,0,0,0,0.0,0,0,1,0.6666666666666666,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.182546,2,1,7,7,2,0,0,0.0,0,0,0,0.0,0,0,1,0.5714285714285714,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.187618,2,1,8,8,2,0,0,0.0,0,0,0,0.0,0,0,1,0.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.194139,2,1,9,9,2,0,0,0.0,0,0,0,0.0,0,0,1,0.4444444444444444,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.207505,2,1,10,10,2,0,0,0.0,0,0,0,0.0,0,0,1,0.4,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.208511,3,1,2,2,3,3,3,3.0,0,1,1,1.0,0,3,3,3.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.209598,3,1,3,3,3,0,1,0.3333333333333333,1,0,0,0.0,0,2,2,2.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.210987,3,1,4,4,3,0,0,0.0,0,0,0,0.0,0,1,2,1.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.213220,3,1,5,5,3,0,0,0.0,0,0,0,0.0,0,1,2,1.2,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.216128,3,1,6,6,3,0,0,0.0,0,0,0,0.0,0,1,1,1.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.220038,3,1,7,7,3,0,0,0.0,0,0,0,0.0,0,0,1,0.8571428571428571,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.225354,3,1,8,8,3,0,0,0.0,0,0,0,0.0,0,0,1,0.75,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.234168,3,1,9,9,3,0,0,0.0,0,0,0,0.0,0,0,1,0.6666666666666666,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.246057,3,1,10,10,3,0,0,0.0,0,0,0,0.0,0,0,1,0.6,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.247210,4,1,2,2,4,5,5,5.0,0,2,2,2.0,0,4,4,4.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.248286,4,1,3,3,4,0,2,1.0,2,0,0,0.0,0,2,3,2.6666666666666665,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.250256,4,1,4,4,4,0,0,0.0,0,0,0,0.0,0,2,2,2.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.251923,4,1,5,5,4,0,0,0.0,0,0,0,0.0,0,1,2,1.6,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.255269,4,1,6,6,4,0,0,0.0,0,0,0,0.0,0,1,2,1.3333333333333333,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.260235,4,1,7,7,4,0,0,0.0,0,0,0,0.0,0,1,2,1.1428571428571428,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.268362,4,1,8,8,4,0,0,0.0,0,0,0,0.0,0,1,1,1.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.279914,4,1,9,9,4,0,0,0.0,0,0,0,0.0,0,0,1,0.8888888888888888,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.297350,4,1,10,10,4,0,0,0.0,0,0,0,0.0,0,0,1,0.8,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.298519,5,1,2,2,5,7,7,7.0,0,3,3,3.0,0,5,5,5.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.299863,5,1,3,3,5,1,3,1.6666666666666667,2,0,1,0.3333333333333333,1,3,4,3.3333333333333335,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.301340,5,1,4,4,5,0,0,0.0,0,0,0,0.0,0,2,3,2.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.304520,5,1,5,5,5,0,1,0.2,1,0,0,0.0,0,2,2,2.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.308118,5,1,6,6,5,0,0,0.0,0,0,0,0.0,0,1,2,1.6666666666666667,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.314206,5,1,7,7,5,0,0,0.0,0,0,0,0.0,0,1,2,1.4285714285714286,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.328449,5,1,8,8,5,0,0,0.0,0,0,0,0.0,0,1,2,1.25,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.342726,5,1,9,9,5,0,0,0.0,0,0,0,0.0,0,1,2,1.1111111111111112,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.364513,5,1,10,10,5,0,0,0.0,0,0,0,0.0,0,1,1,1.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.366115,6,1,2,2,6,9,9,9.0,0,4,4,4.0,0,6,6,6.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.367120,6,1,3,3,6,3,3,3.0,0,1,1,1.0,0,4,4,4.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.368314,6,1,4,4,6,0,0,0.0,0,0,0,0.0,0,3,3,3.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.370577,6,1,5,5,6,0,1,0.2,1,0,0,0.0,0,2,3,2.4,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.374277,6,1,6,6,6,0,1,0.3333333333333333,1,0,0,0.0,0,2,2,2.0,0,0,2,1,5,100,0.0001
2026-02-28 09:27:50.382512,6,1,7,7,6,0,0,0.0,0,0,0,0.0,0,1,2,1.7142857142857142,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.393274,6,1,8,8,6,0,0,0.0,0,0,0,0.0,0,1,2,1.5,1,1,2,1,5,100,0.0001
2026-02-28 09:27:50.410283,6,1,9,9,6,0,0,0.0,0,0,0,0.0,0,1,2,1.3333333333333333,1,1,2,1,5,100,0.0001
