datetime,num_rounds,num_courts,num_men,num_women,num_games,rOp min,rOp max, rOp avg, rTm min, rTm max,rTm avg, gms min, gms max, gms avg,Cull_Num_Courts,rp_expon,wt_rOp,wt_rTm,wt_gms
13:27.6,,,5,5,,9,11,10.2,5,6,5.4,9,10,9.6,,,,,
13:28.7,,,5,5,,9,11,10.2,5,6,5.4,9,10,9.6,,,,,
13:29.5,,,5,5,,9,11,10.2,5,6,5.4,9,10,9.6,,,,,
14:39.9,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,,,,,
14:40.5,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,,,,,
14:41.2,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,,,,,
2026-02-26 11:19:56.781600,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,False,2,1,0.001,10
2026-02-26 11:19:57.473604,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,False,2,1,0.001,10
2026-02-26 11:19:57.899979,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,False,2,1,0.001,10
2026-02-26 11:20:24.621573,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,True,2,1,0.001,10
2026-02-26 11:20:25.523764,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,True,2,1,0.001,10
2026-02-27 07:56:55.677293,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,True,2,1,0.001,10
2026-02-27 08:02:19.893407,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,True,2,1,0.001,10
2026-02-27 08:08:29.899387,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,True,2,1,0.001,10
2026-02-27 08:13:25.870880,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,True,2,1,0.001,10
2026-02-27 08:13:57.173028,12,2,5,5,,9,11,10.2,5,6,5.4,9,10,9.6,True,2,1,0.001,10
2026-02-27 08:14:36.326113,12,2,5,5,,9,11,10.2,5,6,5.4,9,10,9.6,True,2,1,0.001,10
2026-02-27 08:22:30.596139,12,2,5,5,,9,11,10.2,5,6,5.4,9,10,9.6,True,2,1,0.001,10
2026-02-27 08:25:08.749243,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,True,2,1,0.001,10
2026-02-27 08:29:03.220785,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,True,2,1,0.001,10
2026-02-27 08:33:34.572486,12,2,5,5,24,9,11,10.2,5,6,5.4,9,10,9.6,True,2,1,0.001,10
